# float128 tau=0.8 G=32 F=2.393582e-14 iters=107
np.longdouble('0.06000000000000026068') np.longdouble('0.007459074120183811792') np.longdouble('0.014678468840696480452') np.longdouble('0.029210248256927834479') np.longdouble('0.05751000243671249989') np.longdouble('0.110062506412832182306') np.longdouble('0.1989962606795490357') np.longdouble('0.33275305505424613802') np.longdouble('0.49965478097149510764') np.longdouble('0.6075336599787915159') np.longdouble('0.69702548185669829404') np.longdouble('0.7778239138376175589') np.longdouble('0.84942009212005700227') np.longdouble('0.91212781760536619773') np.longdouble('0.961148943280540191') np.longdouble('0.9872671812601160024') np.longdouble('0.060000000000000322745')
np.longdouble('0.08838709677419429317') np.longdouble('0.0076834500834638359154') np.longdouble('0.0150771605922991830075') np.longdouble('0.029761354376061604633') np.longdouble('0.058164268249720580905') np.longdouble('0.11069058031762896156') np.longdouble('0.19962250089866190984') np.longdouble('0.33313250235440104897') np.longdouble('0.49971138615409841825') np.longdouble('0.65072219439179492906') np.longdouble('0.73841697533865228195') np.longdouble('0.8111677060788764908') np.longdouble('0.87265794089099514997') np.longdouble('0.9241449491393187888') np.longdouble('0.9642856803996470651') np.longdouble('0.9876739869996658997') np.longdouble('0.08838709677419438187')
np.longdouble('0.11677419354838844352') np.longdouble('0.0078440325563819111994') np.longdouble('0.015349848784502341691') np.longdouble('0.030134069648222995174') np.longdouble('0.058603366769812870605') np.longdouble('0.11110711340312473091') np.longdouble('0.20001039547582848111') np.longdouble('0.33336236503977384157') np.longdouble('0.49975063142392489422') np.longdouble('0.66384806570542057903') np.longdouble('0.76505955904421962886') np.longdouble('0.832824814752030524') np.longdouble('0.8877320612377692263') np.longdouble('0.932258339750036561') np.longdouble('0.96671556332280855533') np.longdouble('0.9879844940373759311') np.longdouble('0.11677419354838855659')
np.longdouble('0.14516129032258248283') np.longdouble('0.007972541986186174955') np.longdouble('0.015564622598273697356') np.longdouble('0.030425119260873937576') np.longdouble('0.058945218281721291054') np.longdouble('0.111431027217355846956') np.longdouble('0.200308045841922351') np.longdouble('0.33353881478040367037') np.longdouble('0.49978177138713254356') np.longdouble('0.6640365571864570496') np.longdouble('0.7832900172994213067') np.longdouble('0.84839433080463294193') np.longdouble('0.8986365293002099462') np.longdouble('0.9382963390677924717') np.longdouble('0.9687023591223640203') np.longdouble('0.98824350717965396735') np.longdouble('0.14516129032258261918')
np.longdouble('0.17354838709677662637') np.longdouble('0.008082162351871334186') np.longdouble('0.01574515895719727342') np.longdouble('0.030668908314072188108') np.longdouble('0.059230616306042725698') np.longdouble('0.1117011381342736626') np.longdouble('0.20055525466798905786') np.longdouble('0.3336856496146415896') np.longdouble('0.4998080353926093161') np.longdouble('0.66418848067180148893') np.longdouble('0.7957825773758102951') np.longdouble('0.8602434226028763505') np.longdouble('0.90704947142798386623') np.longdouble('0.9430630987695487795') np.longdouble('0.9703857849641275928') np.longdouble('0.9884717033030898454') np.longdouble('0.17354838709677678315')
np.longdouble('0.2019354838709647473') np.longdouble('0.008179876270370555045') np.longdouble('0.015904016874008277403') np.longdouble('0.030881552047968654446') np.longdouble('0.05947908344973208711') np.longdouble('0.11193615109755864524') np.longdouble('0.20076996265132690195') np.longdouble('0.33381332873558854915') np.longdouble('0.4998310287576253101') np.longdouble('0.6643188720182666887') np.longdouble('0.7960408617439840688') np.longdouble('0.86955589032945898283') np.longdouble('0.9138202780325057218') np.longdouble('0.9469790196526503745') np.longdouble('0.97184919121731069315') np.longdouble('0.98868001632288380086') np.longdouble('0.20193548387096492376')
np.longdouble('0.230322580645158892') np.longdouble('0.008270131559644034726') np.longdouble('0.016047845924673456718') np.longdouble('0.031072843525938451056') np.longdouble('0.059701721931305304') np.longdouble('0.11214655050096842695') np.longdouble('0.20096197364236184201') np.longdouble('0.33392761022976063493') np.longdouble('0.49985168650600026697') np.longdouble('0.6644348081824802875') np.longdouble('0.79625467534748261623') np.longdouble('0.88455681574394323316') np.longdouble('0.91943155038922836633') np.longdouble('0.9502894740437190378') np.longdouble('0.9731463329723190304') np.longdouble('0.98887482506314641767') np.longdouble('0.23032258064515908521')
np.longdouble('0.2587096774193558538') np.longdouble('0.008356272830523370122') np.longdouble('0.016181173091112230043') np.longdouble('0.031248611658492315947') np.longdouble('0.05990566644854935385') np.longdouble('0.11233910913722788744') np.longdouble('0.20113739342363228306') np.longdouble('0.33403206829929564948') np.longdouble('0.49987061298998683445') np.longdouble('0.66454038929207630314') np.longdouble('0.796442818256493459') np.longdouble('0.88488097776398850483') np.longdouble('0.9241795983961524707') np.longdouble('0.9531490864927287832') np.longdouble('0.97431389018156356165') np.longdouble('0.98906014766436632814') np.longdouble('0.2587096774193560626')
np.longdouble('0.2870967741935470559') np.longdouble('0.008441388704219267079') np.longdouble('0.016307848685844241588') np.longdouble('0.031412921227474068008') np.longdouble('0.060095512600720710373') np.longdouble('0.11251798251000493148') np.longdouble('0.20130044713248496183') np.longdouble('0.3341291212987275671') np.longdouble('0.49988822043317878568') np.longdouble('0.66463824292367647') np.longdouble('0.79661385759845295594') np.longdouble('0.8851172623228821038') np.longdouble('0.92825713368156827796') np.longdouble('0.95566093741272877356') np.longdouble('0.9753779966807728166') np.longdouble('0.98923868108560295833') np.longdouble('0.28709677419354727988')
np.longdouble('0.3154838709677411187') np.longdouble('0.008528553745298474112') np.longdouble('0.01643090294632790015') np.longdouble('0.031568999948331035647') np.longdouble('0.06027477874523254847') np.longdouble('0.11268647526491055136') np.longdouble('0.20145382123242504811') np.longdouble('0.33422051346054967071') np.longdouble('0.49990480887092113649') np.longdouble('0.66473019269090896345') np.longdouble('0.79677268798924038') np.longdouble('0.885317609681984011') np.longdouble('0.9370635589918181893') np.longdouble('0.95789678138213399795') np.longdouble('0.97635792585821706905') np.longdouble('0.98941233974341195916') np.longdouble('0.31548387096774135551')
np.longdouble('0.34387096774193526597') np.longdouble('0.00862228483520562853') np.longdouble('0.01655347921926149445') np.longdouble('0.031719297423428973656') np.longdouble('0.060445991259475682163') np.longdouble('0.112847108762873372026') np.longdouble('0.20159996289940866507') np.longdouble('0.33430748688114544914') np.longdouble('0.49992060537899909496') np.longdouble('0.664817599210049324') np.longdouble('0.7969225432675219126') np.longdouble('0.8854976381383179491') np.longdouble('0.937582442746674127') np.longdouble('0.9599084542913410585') np.longdouble('0.9772683062789212652') np.longdouble('0.98958255672632971595') np.longdouble('0.34387096774193551152')
np.longdouble('0.37225806451612941198') np.longdouble('0.0087297676004912065615') np.longdouble('0.016679586833431100212') np.longdouble('0.031866070939246905473') np.longdouble('0.060611313130746850025') np.longdouble('0.11300168542499546741') np.longdouble('0.20174039960916069567') np.longdouble('0.33439106402077656716') np.longdouble('0.49993579011414819482') np.longdouble('0.66490150144074263003') np.longdouble('0.79706564899084921097') np.longdouble('0.8856646565984085085') np.longdouble('0.9378489934701308915') np.longdouble('0.96173531783060785814') np.longdouble('0.9781205333451240671') np.longdouble('0.98975046502268401646') np.longdouble('0.37225806451612966728')
