# float128 tau=2.0 G=32 F=9.667018e-17 iters=20
np.longdouble('0.06000000000000002246') np.longdouble('0.00721104843810560414') np.longdouble('0.013292596116386319646') np.longdouble('0.025732080460145243429') np.longdouble('0.050394278415799494112') np.longdouble('0.0974452984750478079') np.longdouble('0.18119305566748007002') np.longdouble('0.3126611649072263836') np.longdouble('0.4811169403209265395') np.longdouble('0.60645586633767733175') np.longdouble('0.69905495418815916217') np.longdouble('0.78266880329723410094') np.longdouble('0.8549134310248413641') np.longdouble('0.917027787970331374') np.longdouble('0.96300897849383587234') np.longdouble('0.98698132972776112643') np.longdouble('0.06000000000000009256')
np.longdouble('0.08838709677419351973') np.longdouble('0.007514443662393873949') np.longdouble('0.014071810373183922097') np.longdouble('0.027154232322026020797') np.longdouble('0.052702141715444802858') np.longdouble('0.100816981576885055254') np.longdouble('0.18541539899684812481') np.longdouble('0.31691365866510143616') np.longdouble('0.48484618055374164908') np.longdouble('0.64081769998731513856') np.longdouble('0.7392990669046388693') np.longdouble('0.81440408900766297163') np.longdouble('0.876325457182699118') np.longdouble('0.92738697780041558683') np.longdouble('0.9658936148533156878') np.longdouble('0.9874589491141338142') np.longdouble('0.08838709677419361957')
np.longdouble('0.116774193548387079075') np.longdouble('0.007744224844588240911') np.longdouble('0.014651496258826875256') np.longdouble('0.028185069492235540844') np.longdouble('0.054336876370640336345') np.longdouble('0.103155445451324902285') np.longdouble('0.1882931773506646965') np.longdouble('0.31974522237976942964') np.longdouble('0.4871300013491125618') np.longdouble('0.64532637218967013213') np.longdouble('0.76825470020508092013') np.longdouble('0.8350897086582704075') np.longdouble('0.89033332470928838113') np.longdouble('0.9345154297127257444') np.longdouble('0.96806090915498994203') np.longdouble('0.9878286608067369058') np.longdouble('0.11677419354838720678')
np.longdouble('0.14516129032258057608') np.longdouble('0.007933652094198235693') np.longdouble('0.015124621362118337626') np.longdouble('0.02901321439875506467') np.longdouble('0.055631393697887596464') np.longdouble('0.10498631874818734523') np.longdouble('0.19052639272851912397') np.longdouble('0.3219225993077321583') np.longdouble('0.48884506387596081338') np.longdouble('0.64810939497280040805') np.longdouble('0.7751909208264105959') np.longdouble('0.85017606033504101396') np.longdouble('0.90053343718428915975') np.longdouble('0.93989535463315570195') np.longdouble('0.9698094987589392362') np.longdouble('0.9881343875457120692') np.longdouble('0.14516129032258072939')
np.longdouble('0.17354838709677410775') np.longdouble('0.00809831364644611103') np.longdouble('0.015533072728761769863') np.longdouble('0.029718974764665982369') np.longdouble('0.05672381146837780945') np.longdouble('0.10651804658655021324') np.longdouble('0.19238105390625887118') np.longdouble('0.32372176760894023093') np.longdouble('0.4902474781001918521') np.longdouble('0.65021963502042471705') np.longdouble('0.77853597095407818047') np.longdouble('0.86288641803783722325') np.longdouble('0.9084552039121470218') np.longdouble('0.9441901747585241376') np.longdouble('0.97128261478074614697') np.longdouble('0.9883983422930000857') np.longdouble('0.1735483870967742849')
np.longdouble('0.20193548387096762538') np.longdouble('0.008246710676264159166') np.longdouble('0.015899338155394456222') np.longdouble('0.030344303933965449666') np.longdouble('0.057682395269480642406') np.longdouble('0.10785313301587185168') np.longdouble('0.19398988782542397763') np.longdouble('0.32527571751528761403') np.longdouble('0.49145186145176663248') np.longdouble('0.65196126888359748987') np.longdouble('0.78091853250761570596') np.longdouble('0.86794417946849849825') np.longdouble('0.91491590121616980953') np.longdouble('0.94775172942429612016') np.longdouble('0.97256086105519886514') np.longdouble('0.9886332698592808475') np.longdouble('0.20193548387096782466')
np.longdouble('0.23032258064516121337') np.longdouble('0.008384147814738414855') np.longdouble('0.016237333665551494559') np.longdouble('0.03091424270205195378') np.longdouble('0.058548029485446506874') np.longdouble('0.10905019703810199427') np.longdouble('0.19542663552473508364') np.longdouble('0.32665837096834001222') np.longdouble('0.49251985481844871238') np.longdouble('0.653468410673171715') np.longdouble('0.7828317564757357007') np.longdouble('0.8706744743142195408') np.longdouble('0.9206948981695490278') np.longdouble('0.95078863717078820927') np.longdouble('0.9736943240084663479') np.longdouble('0.9888471525232023793') np.longdouble('0.23032258064516143237')
np.longdouble('0.25870967741935470478') np.longdouble('0.0085141881600147129') np.longdouble('0.016556591174243236144') np.longdouble('0.031445333301661851553') np.longdouble('0.059347321277035271357') np.longdouble('0.11014896887190779581') np.longdouble('0.1967383046082813628') np.longdouble('0.32791726663289034712') np.longdouble('0.49348930454350668507') np.longdouble('0.6548141168756148663') np.longdouble('0.7844633507181955845') np.longdouble('0.8726384298446986583') np.longdouble('0.92481000689216857327') np.longdouble('0.95343743006842347564') np.longdouble('0.974716323397672428') np.longdouble('0.9890452737781847712') np.longdouble('0.25870967741935494148')
np.longdouble('0.28709677419354829358') np.longdouble('0.008639517957708487664') np.longdouble('0.016864128672296083714') np.longdouble('0.031949381843722272377') np.longdouble('0.06009801161263792572') np.longdouble('0.11117330683930673527') np.longdouble('0.19795588969359814111') np.longdouble('0.32908143445171618972') np.longdouble('0.49438486979220912525') np.longdouble('0.65604303256740187643') np.longdouble('0.78590848929757820256') np.longdouble('0.87422005649524245265') np.longdouble('0.92719396272124643285') np.longdouble('0.9558233922799066033') np.longdouble('0.97565022577742679347') np.longdouble('0.9892313262970849315') np.longdouble('0.28709677419354854628')
np.longdouble('0.31548387096774179968') np.longdouble('0.008761938637641148119') np.longdouble('0.017165577115369144485') np.longdouble('0.032435275033031824174') np.longdouble('0.060813473591118852527') np.longdouble('0.112143582373939807784') np.longdouble('0.19910300367749510709') np.longdouble('0.33017509798131577969') np.longdouble('0.49522465140345230114') np.longdouble('0.65718470252556262536') np.longdouble('0.7872218788976886835') np.longdouble('0.87557319473936820643') np.longdouble('0.92882795262856866954') np.longdouble('0.9579714666560674043') np.longdouble('0.9765131892178813455') np.longdouble('0.98940797618298196897') np.longdouble('0.31548387096774206632')
np.longdouble('0.34387096774193533477') np.longdouble('0.0088832566922522925936') np.longdouble('0.017465970801759764049') np.longdouble('0.032910389455320858768') np.longdouble('0.061503848482902211014') np.longdouble('0.113072384779685105546') np.longdouble('0.20019704327068459553') np.longdouble('0.331215260684563787') np.longdouble('0.49602174107063674608') np.longdouble('0.6582609289165821726') np.longdouble('0.78843895069148785097') np.longdouble('0.8767753091679797547') np.longdouble('0.93009865376168145644') np.longdouble('0.9597008414033282702') np.longdouble('0.97731902083060482396') np.longdouble('0.9895771945180254619') np.longdouble('0.34387096774193561292')
