# float128 tau=1.7999999999999998 G=32 F=2.309351e-17 iters=17
np.longdouble('0.06000000000000002288') np.longdouble('0.007226633671159335353') np.longdouble('0.013416633635961191649') np.longdouble('0.026106259509535734819') np.longdouble('0.05125118427165591405') np.longdouble('0.099124543554124661145') np.longdouble('0.18398321481434921097') np.longdouble('0.31654835412043990755') np.longdouble('0.4853845511632290662') np.longdouble('0.6072024107551496748') np.longdouble('0.69951676215721316735') np.longdouble('0.78294553940083933474') np.longdouble('0.85497503882226647004') np.longdouble('0.91685003068242048647') np.longdouble('0.96296516045675265065') np.longdouble('0.9869988835163887906') np.longdouble('0.060000000000000194874')
np.longdouble('0.08838709677419349288') np.longdouble('0.007525019531584539704') np.longdouble('0.014165626225270942156') np.longdouble('0.02744679728046567085') np.longdouble('0.053384740630469340968') np.longdouble('0.10216691940512655421') np.longdouble('0.18767486739940266447') np.longdouble('0.3200557950433727606') np.longdouble('0.48823612612376357745') np.longdouble('0.64531893189010395477') np.longdouble('0.739868691293821468') np.longdouble('0.81478982060482297645') np.longdouble('0.8765094681649659565') np.longdouble('0.9273414716575348178') np.longdouble('0.965854677012604504') np.longdouble('0.98747481209852104025') np.longdouble('0.08838709677419380463')
np.longdouble('0.11677419354838698325') np.longdouble('0.0077501309320543571793') np.longdouble('0.014718035681302945598') np.longdouble('0.02840877483426204488') np.longdouble('0.054878702594704656783') np.longdouble('0.1042563577254745751') np.longdouble('0.19016790138847092156') np.longdouble('0.32238118430353523614') np.longdouble('0.4899908069452668457') np.longdouble('0.6490102624029659774') np.longdouble('0.7711428910341122149') np.longdouble('0.8355336883520697761') np.longdouble('0.8905819541329081352') np.longdouble('0.93454738799166032267') np.longdouble('0.9680337235043805287') np.longdouble('0.98784260421784508767') np.longdouble('0.116774193548387426074')
np.longdouble('0.14516129032258048062') np.longdouble('0.007935270262158656254') np.longdouble('0.01516663673032474253') np.longdouble('0.02917757607473174489') np.longdouble('0.056057596175928311926') np.longdouble('0.10588629975735893577') np.longdouble('0.1920966016293655754') np.longdouble('0.32416918371090171452') np.longdouble('0.49131453564372864383') np.longdouble('0.65126267937983386606') np.longdouble('0.7785448796467285803') np.longdouble('0.85057599619333838') np.longdouble('0.90082188326793830014') np.longdouble('0.93997811639018966334') np.longdouble('0.96979560613791193104') np.longdouble('0.98814655401188072117') np.longdouble('0.14516129032258094812')
np.longdouble('0.17354838709677397089') np.longdouble('0.008095988037876334511') np.longdouble('0.0155525585259729284656') np.longdouble('0.029830619783871452419') np.longdouble('0.057049032520100823623') np.longdouble('0.107245747678274940725') np.longdouble('0.1936971503612773646') np.longdouble('0.32564746807597040249') np.longdouble('0.49240026501138439978') np.longdouble('0.65297308861617656367') np.longdouble('0.7814298619444114049') np.longdouble('0.86433243653566879737') np.longdouble('0.90876911949017787876') np.longdouble('0.94430884793440487957') np.longdouble('0.97128198891786445056') np.longdouble('0.9884090282933965467') np.longdouble('0.17354838709677454484')
np.longdouble('0.20193548387096744735') np.longdouble('0.008240757800270707713') np.longdouble('0.015897698040488077399') np.longdouble('0.03040777630871818205') np.longdouble('0.057917460025862969144') np.longdouble('0.108429147386022210766') np.longdouble('0.19508339148763961964') np.longdouble('0.32692496687546006854') np.longdouble('0.4933348472095369002') np.longdouble('0.6543881769276072615') np.longdouble('0.78345382974872423726') np.longdouble('0.87018917026970602895') np.longdouble('0.9152266305022260823') np.longdouble('0.9478972702558036592') np.longdouble('0.9725729847811182515') np.longdouble('0.9886428207005081979') np.longdouble('0.20193548387096805653')
np.longdouble('0.23032258064516102182') np.longdouble('0.008374863774538094397') np.longdouble('0.016215544107826929087') np.longdouble('0.03093263753404969873') np.longdouble('0.05870027668984698293') np.longdouble('0.1094892041155014387') np.longdouble('0.19632124974948794529') np.longdouble('0.32806220494846402601') np.longdouble('0.4941650410118870898') np.longdouble('0.65561554890827458626') np.longdouble('0.7850751305005854179') np.longdouble('0.87270424535794458726') np.longdouble('0.9209678919770461998') np.longdouble('0.95095514813039754384') np.longdouble('0.9737185642647559674') np.longdouble('0.9888558966713859035') np.longdouble('0.23032258064516167794')
np.longdouble('0.25870967741935448588') np.longdouble('0.008501881831395524517') np.longdouble('0.016515330911697973564') np.longdouble('0.0314207590983647239') np.longdouble('0.059422066238183697038') np.longdouble('0.110461315668436103035') np.longdouble('0.19745060795539371101') np.longdouble('0.3290979771560471094') np.longdouble('0.49491935204917022833') np.longdouble('0.65671360692133527227') np.longdouble('0.78645850822275313493') np.longdouble('0.8744449982469630195') np.longdouble('0.9258666724767945274') np.longdouble('0.95361982879337995684') np.longdouble('0.97475209591301731') np.longdouble('0.98905352990665460877') np.longdouble('0.25870967741935518673')
np.longdouble('0.28709677419354807476') np.longdouble('0.00862453963753351836') np.longdouble('0.016803866757508570526') np.longdouble('0.03188321986536300056') np.longdouble('0.060098899832188177782') np.longdouble('0.111366890372900391066') np.longdouble('0.19849891362668669286') np.longdouble('0.33005642445504277085') np.longdouble('0.4956171595172741285') np.longdouble('0.65771797161959279817') np.longdouble('0.7876852963118585198') np.longdouble('0.8758305184841225639') np.longdouble('0.92838710711284804433') np.longdouble('0.9559996623033269101') np.longdouble('0.9756970729501220277') np.longdouble('0.98923939253888777234') np.longdouble('0.28709677419354884687')
np.longdouble('0.3154838709677415533') np.longdouble('0.008744665798627218212') np.longdouble('0.017086655590427989456') np.longdouble('0.03232831292971629987') np.longdouble('0.0607431058811269423') np.longdouble('0.11222368023393465401') np.longdouble('0.19948589694179938534') np.longdouble('0.33095678839151459327') np.longdouble('0.496271797984685444') np.longdouble('0.65865233763233072516') np.longdouble('0.7888018789248049593') np.longdouble('0.87701131565729258186') np.longdouble('0.9299461691259766872') np.longdouble('0.9582383509686646954') np.longdouble('0.97657085034305672464') np.longdouble('0.98941613490876278693') np.longdouble('0.31548387096774236672')
np.longdouble('0.34387096774193511643') np.longdouble('0.008864188609366434075') np.longdouble('0.017368708227841611903') np.longdouble('0.032762929668565206616') np.longdouble('0.06136385303591895302') np.longdouble('0.113043000391936147636') np.longdouble('0.20042698872759687488') np.longdouble('0.33181328084797412478') np.longdouble('0.49689342291922646914') np.longdouble('0.659534102967844285') np.longdouble('0.78983813566253507893') np.longdouble('0.87805911038485256266') np.longdouble('0.9311134343953203262') np.longdouble('0.9601488651442089446') np.longdouble('0.9773873427831433219') np.longdouble('0.98958572600531759613') np.longdouble('0.3438709677419358856')
np.longdouble('0.37225806451612862428') np.longdouble('0.00898476878124246415') np.longdouble('0.01765516749383664852') np.longdouble('0.03319317368663219062') np.longdouble('0.061969199931042883833') np.longdouble('0.11383535010830370571') np.longdouble('0.20133219199408399702') np.longdouble('0.33263471581048069484') np.longdouble('0.4974891989143258354') np.longdouble('0.66037496656638869754') np.longdouble('0.7908145140886266497') np.longdouble('0.87901521686524678356') np.longdouble('0.93207292495991712986') np.longdouble('0.9615167992315482259') np.longdouble('0.97816186513421572116') np.longdouble('0.9897496478152461476') np.longdouble('0.37225806451612945854')
np.longdouble('0.40064516129032210542') np.longdouble('0.009106976461376242327') np.longdouble('0.017951091276670123277') np.longdouble('0.03362511738388977447') np.longdouble('0.06256576207039901036') np.longdouble('0.11460935707753176535') np.longdouble('0.20221269544545978494') np.longdouble('0.33343145244413275864') np.longdouble('0.4980652425214979468') np.longdouble('0.6611857218366850499') np.longdouble('0.79174603345799402735') np.longdouble('0.8799059700631485703') np.longdouble('0.9329068793105283337') np.longdouble('0.9625038848010822761') np.longdouble('0.9788918042606902254') np.longdouble('0.98990897306357526287') np.longdouble('0.4006451612903229193')
np.longdouble('0.42903225806451569802') np.longdouble('0.0092331560814078937244') np.longdouble('0.018263053415297511094') np.longdouble('0.034064857336503467312') np.longdouble('0.06315986356081224505') np.longdouble('0.115371908134380028846') np.longdouble('0.20307445981323359873') np.longdouble('0.33420933411224390552') np.longdouble('0.49862774419254319064') np.longdouble('0.6619734899625924984') np.longdouble('0.79264453593545430344') np.longdouble('0.88074916618776282677') np.longdouble('0.9336581627739313072') np.longdouble('0.9632764100430096409') np.longdouble('0.97955264246469693143') np.longdouble('0.9900641949035397776') np.longdouble('0.42903225806451654556')
np.longdouble('0.45741935483870918092') np.longdouble('0.009362965505559223451') np.longdouble('0.018598669274937186875') np.longdouble('0.034519351141311899236') np.longdouble('0.06375776917332187215') np.longdouble('0.11612986588226434145') np.longdouble('0.20392562967332429326') np.longdouble('0.3349753053925027702') np.longdouble('0.49918046580621550255') np.longdouble('0.66274550489211584504') np.longdouble('0.7935189108152109566') np.longdouble('0.8815578640728175063') np.longdouble('0.9343523560146078094') np.longdouble('0.9639224660941772058') np.longdouble('0.9801242453834737543') np.longdouble('0.9902150067761668659') np.longdouble('0.45741935483871005996')
np.longdouble('0.48580645161290277566') np.longdouble('0.009498154647327328371') np.longdouble('0.018969106905691117921') np.longdouble('0.03499770430403199546') np.longdouble('0.06436634197641061938') np.longdouble('0.11688967920683921831') np.longdouble('0.20477302321645954052') np.longdouble('0.3357345526932774633') np.longdouble('0.49972722929777352516') np.longdouble('0.6635082004751167256') np.longdouble('0.79437750927318486014') np.longdouble('0.8823420852944893832') np.longdouble('0.9350067827240997736') np.longdouble('0.9644886414527727428') np.longdouble('0.98061070110969404125') np.longdouble('0.9903606451368686048') np.longdouble('0.48580645161290365665')
np.longdouble('0.5141935483870963433') np.longdouble('0.009639354863131395145') np.longdouble('0.019389298890305958727') np.longdouble('0.035511358547227257194') np.longdouble('0.06499321727590022638') np.longdouble('0.117657914705510616805') np.longdouble('0.20562249072681513984') np.longdouble('0.33649179952488327434') np.longdouble('0.50027277070222647486') np.longdouble('0.66426544730672253667') np.longdouble('0.7952269767835404595') np.longdouble('0.8831103207931607817') np.longdouble('0.9356336580235893806') np.longdouble('0.96500229569596800453') np.longdouble('0.9810308930943088821') np.longdouble('0.9905018453526726716') np.longdouble('0.51419354838709722434')
np.longdouble('0.54258064516128994004') np.longdouble('0.0097849932238331341335') np.longdouble('0.019875754616526245712') np.longdouble('0.036077533905822794263') np.longdouble('0.065647643985392190605') np.longdouble('0.11844213592718249373') np.longdouble('0.20648108918478904342') np.longdouble('0.33725449510788415496') np.longdouble('0.50081953419378449747') np.longdouble('0.6650246946074972298') np.longdouble('0.79607437032667570674') np.longdouble('0.8838701341177356586') np.longdouble('0.93624223082667812785') np.longdouble('0.96548064885868810077') np.longdouble('0.9814013307250628131') np.longdouble('0.99063703449444077655') np.longdouble('0.5425806451612908191')
np.longdouble('0.57096774193548345446') np.longdouble('0.009935805096460222385') np.longdouble('0.020447357535303068578') np.longdouble('0.03672358995699035907') np.longdouble('0.0663418372260686928') np.longdouble('0.11925083381223717322') np.longdouble('0.20735546406454569657') np.longdouble('0.3380265100374075016') np.longdouble('0.5013722558074568094') np.longdouble('0.6657906658877560945') np.longdouble('0.79692554018676640124') np.longdouble('0.8846280918656199712') np.longdouble('0.93684013643918775493') np.longdouble('0.96593514266349653273') np.longdouble('0.98173694658470248887') np.longdouble('0.99076684391859210627') np.longdouble('0.570967741935484302')
np.longdouble('0.59935483870967708067') np.longdouble('0.010091026936424737108') np.longdouble('0.021108195739309774631') np.longdouble('0.037496115198917723917') np.longdouble('0.067093120689471666265') np.longdouble('0.1200940299368514297') np.longdouble('0.20825396654200597265') np.longdouble('0.3388142781633149501') np.longdouble('0.5019347574785020532') np.longdouble('0.66656854755586724136') np.longdouble('0.79778730455454021503') np.longdouble('0.8853906429224682347') np.longdouble('0.9374342379296009897') np.longdouble('0.96637488261611022554') np.longdouble('0.9820489087233298767') np.longdouble('0.99089302353862375764') np.longdouble('0.5993548387096778946')
np.longdouble('0.62774193548387054143') np.longdouble('0.010250352184753852383') np.longdouble('0.02183813486578427883') np.longdouble('0.038483200768451774124') np.longdouble('0.067927075040082870124') np.longdouble('0.12098478313475321645') np.longdouble('0.20918548591137335033') np.longdouble('0.33962503343361130246') np.longdouble('0.5025108010856741646') np.longdouble('0.6673652841895193052') np.longdouble('0.798667808005916003') np.longdouble('0.8861646498916962943') np.longdouble('0.93803080006895711617') np.longdouble('0.96680682631336780936') np.longdouble('0.9823448325061633515') np.longdouble('0.99101523121875753587') np.longdouble('0.6277419354838713757')
np.longdouble('0.6561290322580641144') np.longdouble('0.0104142739946824038445') np.longdouble('0.022612657216856678071') np.longdouble('0.03985113485579105537') np.longdouble('0.06888656560467967382') np.longdouble('0.121940889615147437364') np.longdouble('0.21016186433746492108') np.longdouble('0.34046589703215571508') np.longdouble('0.5031065770807735309') np.longdouble('0.6681867191520258752') np.longdouble('0.7995730112724031251') np.longdouble('0.88695699960806385236') np.longdouble('0.93863614696408104697') np.longdouble('0.96723707033143479334') np.longdouble('0.9826312917721583881') np.longdouble('0.9911358113906335659') np.longdouble('0.65612903225806488354')
np.longdouble('0.6845161290322576333') np.longdouble('0.010583865091237213071') np.longdouble('0.023429149656943275361') np.longdouble('0.041761649031335304602') np.longdouble('0.070053830874023312775') np.longdouble('0.12298868434270741818') np.longdouble('0.21119812107519504065') np.longdouble('0.34134766236766927484') np.longdouble('0.503728202015314556') np.longdouble('0.6690432116084854067') np.longdouble('0.80051410305820061466') np.longdouble('0.887776319766065346') np.longdouble('0.9392568941188730577') np.longdouble('0.9676716870702837001') np.longdouble('0.98291334440957201055') np.longdouble('0.9912553342013727818') np.longdouble('0.68451612903225844675')
np.longdouble('0.7129032258064511531') np.longdouble('0.010760607461112227674') np.longdouble('0.02430292704987797228') np.longdouble('0.04400033769667308992') np.longdouble('0.071612892887151955705') np.longdouble('0.1241694815158774361') np.longdouble('0.21231470368814148018') np.longdouble('0.34228202838040720183') np.longdouble('0.50438284048272587147') np.longdouble('0.6699435755449572291') np.longdouble('0.80150108637331330714') np.longdouble('0.8886331096270996089') np.longdouble('0.93990110016781182225') np.longdouble('0.9681167801346369995') np.longdouble('0.9831961332424914295') np.longdouble('0.99137546036246648165') np.longdouble('0.71290322580645192524')
np.longdouble('0.74129032258064481327') np.longdouble('0.010946470093345391217') np.longdouble('0.025247904086982689969') np.longdouble('0.046380171206620043152') np.longdouble('0.07413332752320547262') np.longdouble('0.12555500175303698053') np.longdouble('0.21354149177724686507') np.longdouble('0.34328639307866472773') np.longdouble('0.50508064795082977167') np.longdouble('0.6709020228439528906') np.longdouble('0.802549392044606289') np.longdouble('0.88953868433156389696') np.longdouble('0.94057793376181630295') np.longdouble('0.9685792409016352761') np.longdouble('0.98348466908830202643') np.longdouble('0.9914981181686044755') np.longdouble('0.7412903225806455141')
np.longdouble('0.76967741935483832206') np.longdouble('0.011144103328614096443') np.longdouble('0.026281435735244032624') np.longdouble('0.049044851869602456163') np.longdouble('0.07903210802295380019') np.longdouble('0.12729575464205541273') np.longdouble('0.21492486949941458211') np.longdouble('0.34438445109172541374') np.longdouble('0.5058349589881129102') np.longdouble('0.671937795051535974') np.longdouble('0.8036787502505120547') np.longdouble('0.89051079588449856127') np.longdouble('0.94129972331015301706') np.longdouble('0.9690673624659503013') np.longdouble('0.98378445589217307094') np.longdouble('0.99162513622546190556') np.longdouble('0.76967741935483897816')
np.longdouble('0.7980645161290319435') np.longdouble('0.0113571792994918020946') np.longdouble('0.027427015218881748524') np.longdouble('0.052102729744196340786') np.longdouble('0.084773369497773917674') np.longdouble('0.12981082973029397105') np.longdouble('0.21654617025127576271') np.longdouble('0.34561182307239273848') np.longdouble('0.5066651527904630998') np.longdouble('0.6730750331245399315') np.longdouble('0.80491660851236038036') np.longdouble('0.89157085261397778925') np.longdouble('0.94208253997413703086') np.longdouble('0.96959222369128181794') np.longdouble('0.9841023019595119226') np.longdouble('0.9917592421997292923') np.longdouble('0.79806451612903255265')
np.longdouble('0.82645161290322545516') np.longdouble('0.011590971706603453315') np.longdouble('0.028718011082135549478') np.longdouble('0.055691152065595120426') np.longdouble('0.09123088050982212124') np.longdouble('0.13566756346433120263') np.longdouble('0.21857013805558859508') np.longdouble('0.34702691138382343636') np.longdouble('0.5075997349886156002') np.longdouble('0.6743525319240295975') np.longdouble('0.8063028496387226354') np.longdouble('0.89275425232172505923') np.longdouble('0.9429509674798991764') np.longdouble('0.9701693802161285476') np.longdouble('0.9844474414740270715') np.longdouble('0.9919040119621236655') np.longdouble('0.8264516129032260291')
np.longdouble('0.8548387096774190519') np.longdouble('0.011853445988119278831') np.longdouble('0.030204393862088068984') np.longdouble('0.06002188360981033667') np.longdouble('0.09917811673206169988') np.longdouble('0.14942400380666162001') np.longdouble('0.2214551203532714197') np.longdouble('0.34873732062016613394') np.longdouble('0.5086854643562713561') np.longdouble('0.6758308162890982855') np.longdouble('0.80790339837063442465') np.longdouble('0.8941137002426410642') np.longdouble('0.94394240382407168803') np.longdouble('0.97082242392526825513') np.longdouble('0.9848333632696752575') np.longdouble('0.99206472973784134376') np.longdouble('0.8548387096774195194')
np.longdouble('0.88322580645161257395') np.longdouble('0.012157395782154912299') np.longdouble('0.03196627649561947127') np.longdouble('0.065452612008339677345') np.longdouble('0.10941804586709186477') np.longdouble('0.16446631164793022393') np.longdouble('0.2288571089658877851') np.longdouble('0.35098973759703402253') np.longdouble('0.5100091930547331543') np.longdouble('0.6776188156964647639') np.longdouble('0.80983209861152907847') np.longdouble('0.8957436422745254249') np.longdouble('0.9451212974052953432') np.longdouble('0.9715912251657379551') np.longdouble('0.98528196431869705444') np.longdouble('0.9922498690679456428') np.longdouble('0.88322580645161301673')
np.longdouble('0.9116129032258061954') np.longdouble('0.012525187901478959737') np.longdouble('0.034145322987395496026') np.longdouble('0.072658528342465182164') np.longdouble('0.123490531835034043494') np.longdouble('0.18521017939517702355') np.longdouble('0.260131308706178532') np.longdouble('0.35468106810989604528') np.longdouble('0.5117638738762364226') np.longdouble('0.6799442049566272394') np.longdouble('0.81232513260059733553') np.longdouble('0.8978330805948734458') np.longdouble('0.946615259369530659') np.longdouble('0.97255320271953432914') np.longdouble('0.98583437377472905784') np.longdouble('0.9924749804684154603') np.longdouble('0.9116129032258065071')
np.longdouble('0.9399999999999998051') np.longdouble('0.0130011164836112093744') np.longdouble('0.037034839543247349334') np.longdouble('0.08314996931757951353') np.longdouble('0.14502496117773352996') np.longdouble('0.21705446059916066528') np.longdouble('0.30048323784278683265') np.longdouble('0.3927975892448503252') np.longdouble('0.51461544883677093386') np.longdouble('0.68345164587956009245') np.longdouble('0.81601678518565078904') np.longdouble('0.90087545644587533884') np.longdouble('0.94874881572834408595') np.longdouble('0.9738937404904642652') np.longdouble('0.98658336636403880834') np.longdouble('0.99277336632884066465') np.longdouble('0.9399999999999999771')
