# float128 tau=1.1999999999999993 G=32 F=3.279712e-17 iters=18
np.longdouble('0.060000000000000018664') np.longdouble('0.007312982130288343114') np.longdouble('0.013989990102619019513') np.longdouble('0.027666593486582374228') np.longdouble('0.05462088492504591272') np.longdouble('0.10550676109799831') np.longdouble('0.19383498400431728375') np.longdouble('0.32860566015906910549') np.longdouble('0.49641261391056889412') np.longdouble('0.60788458353959264817') np.longdouble('0.69928463416737902323') np.longdouble('0.78156082844978661174') np.longdouble('0.8533528614605861404') np.longdouble('0.91514252796876209345') np.longdouble('0.96245287196619353247') np.longdouble('0.987107166072496647') np.longdouble('0.060000000000000527128')
np.longdouble('0.08838709677419338755') np.longdouble('0.0075845650343172672544') np.longdouble('0.014589987383350470004') np.longdouble('0.028635891702602195056') np.longdouble('0.055996460572408529874') np.longdouble('0.10717534550846691416') np.longdouble('0.19552546650555751704') np.longdouble('0.32973510017520430739') np.longdouble('0.49705847781653455982') np.longdouble('0.658921871984433301') np.longdouble('0.7401641516249128737') np.longdouble('0.8140875775530362941') np.longdouble('0.87561658006731081646') np.longdouble('0.92629652272280658975') np.longdouble('0.9653946870906735037') np.longdouble('0.98756585963753339277') np.longdouble('0.088387096774194252195')
np.longdouble('0.116774193548386759256') np.longdouble('0.0077851445144658282786') np.longdouble('0.015015890353372463846') np.longdouble('0.029304542450371046324') np.longdouble('0.056928216357440944496') np.longdouble('0.10829353490455439719') np.longdouble('0.19663672929236680905') np.longdouble('0.33049346424607591727') np.longdouble('0.49747595871254012375') np.longdouble('0.66006032803086368225') np.longdouble('0.7665157482228702736') np.longdouble('0.83522438047812496364') np.longdouble('0.8901020479177322791') np.longdouble('0.9338958359824502458') np.longdouble('0.9676485120296802672') np.longdouble('0.9879171942674548031') np.longdouble('0.116774193548388096436')
np.longdouble('0.14516129032258015888') np.longdouble('0.0079481064856412402') np.longdouble('0.0153553995204313801545') np.longdouble('0.029829883708239118062') np.longdouble('0.057653906587761667486') np.longdouble('0.10915986484907345277') np.longdouble('0.1974941764093804066') np.longdouble('0.33108345514528579536') np.longdouble('0.49779891569867260547') np.longdouble('0.66075419027548793535') np.longdouble('0.78978374567650988633') np.longdouble('0.85044234552740526653') np.longdouble('0.9006071217449502295') np.longdouble('0.93958858888242917747') np.longdouble('0.96948589248420022194') np.longdouble('0.9882071173630260467') np.longdouble('0.14516129032258161922')
np.longdouble('0.17354838709677362094') np.longdouble('0.008088514864027828934') np.longdouble('0.015643691833106719783') np.longdouble('0.030271317834056378598') np.longdouble('0.058259537622305924958') np.longdouble('0.10988032965269849042') np.longdouble('0.19820577007899610637') np.longdouble('0.33157522052926800493') np.longdouble('0.4980678939717897474') np.longdouble('0.6612919534574522025') np.longdouble('0.7910281976903421152') np.longdouble('0.8620772073049084637') np.longdouble('0.9087321446910661079') np.longdouble('0.94410646949973071066') np.longdouble('0.97104307244544265976') np.longdouble('0.98845826556435217614') np.longdouble('0.17354838709677523064')
np.longdouble('0.20193548387096697187') np.longdouble('0.008214539211776693894') np.longdouble('0.015898894050563738801') np.longdouble('0.030658434627111229474') np.longdouble('0.058787356789953788434') np.longdouble('0.11050622484529035608') np.longdouble('0.19882305246680824346') np.longdouble('0.33200240544790082998') np.longdouble('0.49830163077767239673') np.longdouble('0.6617441038305199619') np.longdouble('0.79186030909043008145') np.longdouble('0.87780774975238527177') np.longdouble('0.91529109839767335965') np.longdouble('0.94783474821639975667') np.longdouble('0.9723990427891606651') np.longdouble('0.98868327735143841104') np.longdouble('0.201935483870968743')
np.longdouble('0.23032258064516044862') np.longdouble('0.008331274006771609411') np.longdouble('0.0161318918019889973') np.longdouble('0.031007872760260603665') np.longdouble('0.059260440224961500358') np.longdouble('0.11106586925101269236') np.longdouble('0.19937417070802696662') np.longdouble('0.33238435882727765844') np.longdouble('0.49851064441079144003') np.longdouble('0.66214113224453646767') np.longdouble('0.7925281540513108676') np.longdouble('0.87983929926196374256') np.longdouble('0.9207540856271240616') np.longdouble('0.95099980817904993365') np.longdouble('0.97360393885175727205') np.longdouble('0.9888898475614273442') np.longdouble('0.23032258064516236457')
np.longdouble('0.25870967741935381508') np.longdouble('0.00844231566524347497') np.longdouble('0.016350133273864663638') np.longdouble('0.031330430639292096583') np.longdouble('0.059694891177887654876') np.longdouble('0.111577693312415044416') np.longdouble('0.1998769180325448523') np.longdouble('0.33273301090312133507') np.longdouble('0.49870157279796543031') np.longdouble('0.66249978067469295377') np.longdouble('0.79310315668458902387') np.longdouble('0.8807569279495021957') np.longdouble('0.92543868020347610343') np.longdouble('0.9537455696956685503') np.longdouble('0.97469167517747741785') np.longdouble('0.98908298169785616193') np.longdouble('0.25870967741935597077')
np.longdouble('0.28709677419354740342') np.longdouble('0.0085505857114779598755') np.longdouble('0.016559150177718235443') np.longdouble('0.03163402377852275191') np.longdouble('0.06010053060629260851') np.longdouble('0.11205337694494218818') np.longdouble('0.20034383372801889653') np.longdouble('0.3330568097904669677') np.longdouble('0.49887884941441622857') np.longdouble('0.6628303308840920948') np.longdouble('0.79361805214382198095') np.longdouble('0.881447803645338415') np.longdouble('0.93212189879934940573') np.longdouble('0.9561697601901731705') np.longdouble('0.9756863422989085899') np.longdouble('0.98926611639082854307') np.longdouble('0.28709677419354974232')
np.longdouble('0.31548387096774088166') np.longdouble('0.0086582783056068373485') np.longdouble('0.016763555420110462509') np.longdouble('0.031924286633146132665') np.longdouble('0.06048468668504663199') np.longdouble('0.11250221907590474839') np.longdouble('0.20078302008321195543') np.longdouble('0.33336110287126642605') np.longdouble('0.49904559043901842367') np.longdouble('0.6631397070957354183') np.longdouble('0.7940907985194416041') np.longdouble('0.8820294284512921306') np.longdouble('0.93399153449732424286') np.longdouble('0.95834462632870211305') np.longdouble('0.97660577697854632944') np.longdouble('0.98944172421927949516') np.longdouble('0.31548387096774326217')
np.longdouble('0.34387096774193444426') np.longdouble('0.008767978468112675412') np.longdouble('0.016967855483955848139') np.longdouble('0.032205935519496185105') np.longdouble('0.0608528369245074068') np.longdouble('0.112930416620787787526') np.longdouble('0.20120116223573832916') np.longdouble('0.3336508408555686414') np.longdouble('0.4992041853532090775') np.longdouble('0.6634329260127381642') np.longdouble('0.7945329581617453262') np.longdouble('0.88254547953501442627') np.longdouble('0.9347732749826935711') np.longdouble('0.96034267218555534464') np.longdouble('0.9774637669195320283') np.longdouble('0.9896116636016730568') np.longdouble('0.34387096774193683666')
np.longdouble('0.3722580645161279238') np.longdouble('0.0088821794045512681025') np.longdouble('0.017177058822937190441') np.longdouble('0.03248318372645172793') np.longdouble('0.061210059771603263273') np.longdouble('0.11334324479722829795') np.longdouble('0.20160332850551900054') np.longdouble('0.33392896525085241264') np.longdouble('0.49935656556279585491') np.longdouble('0.6637137307437847374') np.longdouble('0.79495240812649556274') np.longdouble('0.8830185002902159559') np.longdouble('0.93535077734914552074') np.longdouble('0.9626357517944967361') np.longdouble('0.9782717184492937489') np.longdouble('0.9897773961471086275') np.longdouble('0.37225806451613038198')
np.longdouble('0.40064516129032140483') np.longdouble('0.00900249144047547888') np.longdouble('0.017397047051900617339') np.longdouble('0.032760305261339000693') np.longdouble('0.06156014334621083458') np.longdouble('0.11374496223569005092') np.longdouble('0.20199355737136556226') np.longdouble('0.33419854351498626754') np.longdouble('0.4995040927587748707') np.longdouble('0.663985281992619653') np.longdouble('0.79535495428487218634') np.longdouble('0.8834618326855985509') np.longdouble('0.9358346470191652998') np.longdouble('0.96444934395415462934') np.longdouble('0.9790410831605023892') np.longdouble('0.9899401376814030666') np.longdouble('0.40064516129032384301')
