# float128 tau=1.3999999999999995 G=32 F=5.914323e-17 iters=17
np.longdouble('0.37225806451612815267') np.longdouble('0.00892615365809691295') np.longdouble('0.017364528683037681731') np.longdouble('0.032747969922532013342') np.longdouble('0.06148485710571398382') np.longdouble('0.11351676678976556516') np.longdouble('0.20150809301834265324') np.longdouble('0.33351696247464165037') np.longdouble('0.49882110552255854891') np.longdouble('0.662652143415807857') np.longdouble('0.79348197037841638736') np.longdouble('0.881630701299478211') np.longdouble('0.9341738622215169511') np.longdouble('0.9626150649303589474') np.longdouble('0.9782666226337118292') np.longdouble('0.9897697785729435011') np.longdouble('0.37225806451613009643')
np.longdouble('0.40064516129032163395') np.longdouble('0.009046886340443630907') np.longdouble('0.017614939042042136567') np.longdouble('0.033082617247615337896') np.longdouble('0.061923433040293495465') np.longdouble('0.1140484972526767419') np.longdouble('0.20207343982509565177') np.longdouble('0.33395457840610463655') np.longdouble('0.4990914583709994311') np.longdouble('0.6630945350720961327') np.longdouble('0.79407096280826548133') np.longdouble('0.8822274582915811768') np.longdouble('0.9347843995066973998') np.longdouble('0.96374256190529245685') np.longdouble('0.9790342321104505116') np.longdouble('0.98993136063484297494') np.longdouble('0.4006451612903235296')
np.longdouble('0.42903225806451514334') np.longdouble('0.009174435971410581289') np.longdouble('0.017883953970015815979') np.longdouble('0.033422913016064880658') np.longdouble('0.0623587350456575358') np.longdouble('0.114571046439201790844') np.longdouble('0.20262641861730086665') np.longdouble('0.3343818868736765967') np.longdouble('0.4993554646977368464') np.longdouble('0.66352507556228943364') np.longdouble('0.794640724983036213') np.longdouble('0.8827943746806325453') np.longdouble('0.9353297739672857163') np.longdouble('0.9644530411910537911') np.longdouble('0.97979400297318054144') np.longdouble('0.9900903496422988855') np.longdouble('0.42903225806451718343')
np.longdouble('0.45741935483870859846') np.longdouble('0.009308235633969767784') np.longdouble('0.018182838074198148628') np.longdouble('0.033774934707519513564') np.longdouble('0.062795369228440437245') np.longdouble('0.11508911990556740431') np.longdouble('0.20317163839889140235') np.longdouble('0.33480242443555194764') np.longdouble('0.4996150298856384217') np.longdouble('0.66394758871813784547') np.longdouble('0.7951967720954006778') np.longdouble('0.88334006651061284664') np.longdouble('0.9358324243304705129') np.longdouble('0.9649946124383180531') np.longdouble('0.9804883824330408073') np.longdouble('0.9902473197579830086') np.longdouble('0.4574193548387106979')
np.longdouble('0.48580645161290219333') np.longdouble('0.009450448039398080737') np.longdouble('0.018530346498016156916') np.longdouble('0.034147074585857874483') np.longdouble('0.06323840663126659979') np.longdouble('0.115606925347646887334') np.longdouble('0.20371359281573985489') np.longdouble('0.3352191069033491614') np.longdouble('0.49987190133173092546') np.longdouble('0.6643654084599413432') np.longdouble('0.79574387603645903235') np.longdouble('0.8838711335743138224') np.longdouble('0.9363065317954882964') np.longdouble('0.9654492046223558309') np.longdouble('0.9810418153974505978') np.longdouble('0.990400938300885506') np.longdouble('0.48580645161290429452')
np.longdouble('0.5141935483870957055') np.longdouble('0.0095990616991144939965') np.longdouble('0.01895818460254940219') np.longdouble('0.034550795377644169124') np.longdouble('0.06369346820451170364') np.longdouble('0.116128866425686177556') np.longdouble('0.20425612396354096764') np.longdouble('0.3356345915400586568') np.longdouble('0.5001280986682690745') np.longdouble('0.6647808930966508386') np.longdouble('0.7962864071842601451') np.longdouble('0.88439307465235311267') np.longdouble('0.9367615933687334002') np.longdouble('0.9658529254141421255') np.longdouble('0.9814696535019838431') np.longdouble('0.99054955196060191926') np.longdouble('0.51419354838709780667')
np.longdouble('0.5425806451612893021') np.longdouble('0.009752680242016991411') np.longdouble('0.019511617566959192664') np.longdouble('0.03500538756168194688') np.longdouble('0.064167575669529487066') np.longdouble('0.11665993348938715336') np.longdouble('0.20480322790459932224') np.longdouble('0.33605241128186215453') np.longdouble('0.5003849701143615783') np.longdouble('0.66519757556444805236') np.longdouble('0.79682836160110859767') np.longdouble('0.8849108800944325957') np.longdouble('0.9372046307715595628') np.longdouble('0.96622506529248048643') np.longdouble('0.9818171619258018514') np.longdouble('0.9906917643660302322') np.longdouble('0.54258064516129140154')
np.longdouble('0.5709677419354828166') np.longdouble('0.009909650357701114467') np.longdouble('0.020205997026819458546') np.longdouble('0.03554695880894620885') np.longdouble('0.06467022603271428364') np.longdouble('0.117205625319367454716') np.longdouble('0.20535927501696378704') np.longdouble('0.33647492443771056636') np.longdouble('0.50064453530226315353') np.longdouble('0.6656181131263234033') np.longdouble('0.79737358138269913335') np.longdouble('0.88542895356079820917') np.longdouble('0.9376412649543424642') np.longdouble('0.96657708698393511934') np.longdouble('0.982116046029984184') np.longdouble('0.9908255640285894187') np.longdouble('0.57096774193548485666')
np.longdouble('0.5993548387096764704') np.longdouble('0.0100686393651570250866') np.longdouble('0.020965767889549488365') np.longdouble('0.03625743809470754318') np.longdouble('0.06521560049330260018') np.longdouble('0.11777254170841882317') np.longdouble('0.20592903719173451867') np.longdouble('0.3369054649279038673') np.longdouble('0.5009085416290005689') np.longdouble('0.66604542159389536345') np.longdouble('0.79792656017490434827') np.longdouble('0.8859515027473232581') np.longdouble('0.9380765669597065045') np.longdouble('0.9669173827523846621') np.longdouble('0.98238506095795786343') np.longdouble('0.99095311365955636906') np.longdouble('0.59935483870967836605')
np.longdouble('0.6277419354838699036') np.longdouble('0.010230221427056498885') np.longdouble('0.021733377366288170792') np.longdouble('0.0373849350696410526') np.longdouble('0.065826137778483048905') np.longdouble('0.11836929870052178895') np.longdouble('0.20651802962158361264') np.longdouble('0.33734785658419214296') np.longdouble('0.50117889447744145106') np.longdouble('0.66648303752535834965') np.longdouble('0.79849190698165734676') np.longdouble('0.8864832332102344348') np.longdouble('0.9385151428942860162') np.longdouble('0.96725203007746798667') np.longdouble('0.9826354713169623183') np.longdouble('0.99107384634190308706') np.longdouble('0.62774193548387184735')
np.longdouble('0.65612903225806347657') np.longdouble('0.010395411640564068834') np.longdouble('0.022527699271500974429') np.longdouble('0.039444740084428648805') np.longdouble('0.06654367349445385435') np.longdouble('0.11900781720584077342') np.longdouble('0.2071332905854335916') np.longdouble('0.33780573047641321733') np.longdouble('0.50145831152925390785') np.longdouble('0.66693443420674480165') np.longdouble('0.7990741893855157298') np.longdouble('0.8870288562393067738') np.longdouble('0.9389617030107610663') np.longdouble('0.96758614690108106683') np.longdouble('0.9828753797988129101') np.longdouble('0.99119071945434379916') np.longdouble('0.6561290322580653275')
np.longdouble('0.68451612903225705084') np.longdouble('0.0105654160032223490185') np.longdouble('0.023369144917844753149') np.longdouble('0.041629130700441612306') np.longdouble('0.06746618969421693287') np.longdouble('0.11970606605478998602') np.longdouble('0.20778373758870461873') np.longdouble('0.33828470781353733618') np.longdouble('0.5017493031376495192') np.longdouble('0.6674049149920717606') np.longdouble('0.7996794631764206086') np.longdouble('0.88759412600143828924') np.longdouble('0.93942108698773818694') np.longdouble('0.96792474352127743135') np.longdouble('0.9831103867611640418') np.longdouble('0.99130474789704857495') np.longdouble('0.68451612903225889046')
np.longdouble('0.7129032258064505707') np.longdouble('0.010741731154247765116') np.longdouble('0.024269918285507640045') np.longdouble('0.04380032293813522066') np.longdouble('0.0689415698149088285') np.longdouble('0.12049380544464302348') np.longdouble('0.20848139998826880002') np.longdouble('0.33879085796874722756') np.longdouble('0.50205540281816056') np.longdouble('0.6678991790316252426') np.longdouble('0.80031485978754631405') np.longdouble('0.8881863705712132849') np.longdouble('0.93989942723497026724') np.longdouble('0.9682727954321076058') np.longdouble('0.983345616624638143') np.longdouble('0.9914179180250295976') np.longdouble('0.71290322580645236906')
np.longdouble('0.7412903225806442585') np.longdouble('0.010926283446798553716') np.longdouble('0.025243813214675312386') np.longdouble('0.046200266211419428207') np.longdouble('0.07396422158167874359') np.longdouble('0.12142596692695822218') np.longdouble('0.20924421359443847799') np.longdouble('0.33933290562805849675') np.longdouble('0.50238125626542687134') np.longdouble('0.66842532021669067246') np.longdouble('0.800990581413866809') np.longdouble('0.88881358882874988677') np.longdouble('0.9404034333526656667') np.longdouble('0.9686358905158076759') np.longdouble('0.9835858583803414047') np.longdouble('0.99153250219821464174') np.longdouble('0.7412903225806459582')
np.longdouble('0.7696774193548378644') np.longdouble('0.011121643298228968589') np.longdouble('0.02630845740079592645') np.longdouble('0.048911040763934773914') np.longdouble('0.07905970253245676508') np.longdouble('0.122636256104440022474') np.longdouble('0.21010004731380656302') np.longdouble('0.33992283835335044748') np.longdouble('0.50273253940875704853') np.longdouble('0.6689926235251304457') np.longdouble('0.80171831314877942213') np.longdouble('0.88948799177733485336') np.longdouble('0.9409427156299017866') np.longdouble('0.9690207262015798171') np.longdouble('0.9838361447103566689') np.longdouble('0.9916505027004055753') np.longdouble('0.7696774193548394082')
np.longdouble('0.79806451612903148564') np.longdouble('0.01133137470360697524') np.longdouble('0.027487638570728266203') np.longdouble('0.05203018229642215149') np.longdouble('0.08450343759231300285') np.longdouble('0.124689123182115587206') np.longdouble('0.21109847704313139773') np.longdouble('0.3405784919411043953') np.longdouble('0.50311786500366976533') np.longdouble('0.66961476170794398367') np.longdouble('0.8025168421912877531') np.longdouble('0.89022491024631657665') np.longdouble('0.94152953239810537305') np.longdouble('0.96943648341462444214') np.longdouble('0.9841025823019631081') np.longdouble('0.99177476032197515684') np.longdouble('0.7980645161290328855')
np.longdouble('0.82645161290322499735') np.longdouble('0.0115606381209845048495') np.longdouble('0.028814932655989965639') np.longdouble('0.05569849742205122759') np.longdouble('0.091006142730847271306') np.longdouble('0.13744535578049327059') np.longdouble('0.21234576902774810104') np.longdouble('0.34132899793422338792') np.longdouble('0.5035498568936150655') np.longdouble('0.6703119230277370181') np.longdouble('0.8034117038127785953') np.longdouble('0.8910485023644239063') np.longdouble('0.9421827841258080646') np.longdouble('0.96989579782173890006') np.longdouble('0.9843934174127354947') np.longdouble('0.99190887606391084955') np.longdouble('0.8264516129032262648')
np.longdouble('0.85483870967741860795') np.longdouble('0.011817298114917813884') np.longdouble('0.030340211771796936887') np.longdouble('0.060136226794256877345') np.longdouble('0.099045988417225627184') np.longdouble('0.14908813309112194939') np.longdouble('0.21417865049055218897') np.longdouble('0.34222830098401493676') np.longdouble('0.50404882329779710436') np.longdouble('0.67111648176340623836') np.longdouble('0.8044448870139337816') np.longdouble('0.8919972788133431078') np.longdouble('0.94293102573065946384') np.longdouble('0.97041827798813279447') np.longdouble('0.984720723624534787') np.longdouble('0.9920580464098328659') np.longdouble('0.85483870967741972733')
np.longdouble('0.88322580645161212997') np.longdouble('0.01211414126907823583') np.longdouble('0.03214261277345732548') np.longdouble('0.065717099020261799316') np.longdouble('0.10942734087537747079') np.longdouble('0.16419397451216015341') np.longdouble('0.23311161104043913297') np.longdouble('0.3434012437575587011') np.longdouble('0.50465147190699181787') np.longdouble('0.67208560787197881123') np.longdouble('0.80569257581718397166') np.longdouble('0.89313727454920017584') np.longdouble('0.94382603955331954485') np.longdouble('0.9710383087772474475') np.longdouble('0.98510436842371662666') np.longdouble('0.9922306161434941964') np.longdouble('0.8832258064516131415')
np.longdouble('0.91161290322580591805') np.longdouble('0.01247379521978995041') np.longdouble('0.034360097317919885518') np.longdouble('0.073149059205856232585') np.longdouble('0.123723820672464284836') np.longdouble('0.18514048166515178956') np.longdouble('0.2594383523570403896') np.longdouble('0.34534715657805301303') np.longdouble('0.50543900551460474414') np.longdouble('0.6733393516003562491') np.longdouble('0.8073149696546621806') np.longdouble('0.8946073840892252568') np.longdouble('0.9449702650602864416') np.longdouble('0.9718221273585637709') np.longdouble('0.98558245798491755913') np.longdouble('0.99244191848426282295') np.longdouble('0.9116129032258065695')
np.longdouble('0.93999999999999958323') np.longdouble('0.012941631639838689979') np.longdouble('0.037272331997918471662') np.longdouble('0.08402187797077220267') np.longdouble('0.14566195740012914068') np.longdouble('0.21735163582410033251') np.longdouble('0.30006787426165886358') np.longdouble('0.39203761419991197524') np.longdouble('0.5066865785000118745') np.longdouble('0.6752258031395421652') np.longdouble('0.8097890106531350679') np.longdouble('0.8967915962370566666') np.longdouble('0.9466463550765069823') np.longdouble('0.97294217750072204255') np.longdouble('0.9862457301772172025') np.longdouble('0.99272538128680203864') np.longdouble('0.9399999999999999805')
