# float128 tau=0.9 G=32 F=1.283153e-16 iters=32
np.longdouble('0.060000000000000119637') np.longdouble('0.007408548945142169208') np.longdouble('0.014476197111608210738') np.longdouble('0.02879369532639400584') np.longdouble('0.056785959581233891063') np.longdouble('0.108908134752684816995') np.longdouble('0.19747858214830075014') np.longdouble('0.33145729288740532586') np.longdouble('0.49922868973104532256') np.longdouble('0.60775626845907370873') np.longdouble('0.69789355100255862335') np.longdouble('0.77929044165957427146') np.longdouble('0.85086589716406847944') np.longdouble('0.91318644854946776296') np.longdouble('0.96159916913469166574') np.longdouble('0.98721882337368785306') np.longdouble('0.060000000000000232516')
np.longdouble('0.088387096774193842726') np.longdouble('0.007649677692340967162') np.longdouble('0.014935549089723686923') np.longdouble('0.02946313581007003204') np.longdouble('0.057626244035696609626') np.longdouble('0.10981245760705863606') np.longdouble('0.19845664148263055386') np.longdouble('0.33211603098751182') np.longdouble('0.499358309008390625') np.longdouble('0.65090274017635081714') np.longdouble('0.73911289225583800167') np.longdouble('0.81236148262048211066') np.longdouble('0.87379428569535381023') np.longdouble('0.92493028702912408147') np.longdouble('0.9646574602575917424') np.longdouble('0.9876462020164252875') np.longdouble('0.08838709677419400357')
np.longdouble('0.116774193548387734916') np.longdouble('0.007824022997937879282') np.longdouble('0.015253511575349279048') np.longdouble('0.029915720538136473173') np.longdouble('0.058189020775811848714') np.longdouble('0.11040641725112026188') np.longdouble('0.19905660930865940242') np.longdouble('0.33251091399033406033') np.longdouble('0.4994464550813243911') np.longdouble('0.66274952805494581403') np.longdouble('0.765647779767653752') np.longdouble('0.83383930804637564494') np.longdouble('0.8886762548677268271') np.longdouble('0.9328791983422274459') np.longdouble('0.9670232850111283705') np.longdouble('0.9879719604746577139') np.longdouble('0.116774193548387940684')
np.longdouble('0.14516129032258146095') np.longdouble('0.007964134735002751211') np.longdouble('0.015504675825785553976') np.longdouble('0.03026919784335951371') np.longdouble('0.058626503804948962387') np.longdouble('0.110866337189950139394') np.longdouble('0.19951428187212979641') np.longdouble('0.33281199261026714033') np.longdouble('0.49951595236645132594') np.longdouble('0.66307754943608057413') np.longdouble('0.78386559834037085185') np.longdouble('0.8492815359239205491') np.longdouble('0.8994472641273333021') np.longdouble('0.93880565473794826484') np.longdouble('0.96895850314608405416') np.longdouble('0.98824201144477211763') np.longdouble('0.14516129032258170742')
np.longdouble('0.17354838709677534637') np.longdouble('0.008084016628816279736') np.longdouble('0.015716370400064066138') np.longdouble('0.030565480778655016996') np.longdouble('0.05899140486507198218') np.longdouble('0.11124885214367434388') np.longdouble('0.19989326356132122614') np.longdouble('0.33306158286258443613') np.longdouble('0.49957438696383778688') np.longdouble('0.6633389275515557558') np.longdouble('0.79447687151542138734') np.longdouble('0.86103861141623825204') np.longdouble('0.90776146332205371583') np.longdouble('0.9434912359649128924') np.longdouble('0.97059982274342178495') np.longdouble('0.9884780878069478843') np.longdouble('0.17354838709677563152')
np.longdouble('0.20193548387096615073') np.longdouble('0.008191134559440416124') np.longdouble('0.015902668200933621706') np.longdouble('0.030823683222672685126') np.longdouble('0.05930915073760333685') np.longdouble('0.11158123622095979009') np.longdouble('0.20022164216102480365') np.longdouble('0.33327805898492973718') np.longdouble('0.49962546529387765953') np.longdouble('0.6635619301549915816') np.longdouble('0.7948854257996470674') np.longdouble('0.87029386928211249135') np.longdouble('0.914456620023828332') np.longdouble('0.9473453319766112359') np.longdouble('0.9720282843639499017') np.longdouble('0.9886919103349298683') np.longdouble('0.20193548387096647167')
np.longdouble('0.23032258064515998141') np.longdouble('0.008290204303419171986') np.longdouble('0.01607174761085960768') np.longdouble('0.031056394484795330423') np.longdouble('0.059593643055668831594') np.longdouble('0.11187853050667908193') np.longdouble('0.20051491101895050129') np.longdouble('0.33347154114493435725') np.longdouble('0.49967131176627794267') np.longdouble('0.6637594310389048254') np.longdouble('0.7952203167182189857') np.longdouble('0.8834144204386682375') np.longdouble('0.9200094938151883013') np.longdouble('0.9506072937089275743') np.longdouble('0.97329600460512682666') np.longdouble('0.98889041847094085147') np.longdouble('0.23032258064516033464')
np.longdouble('0.25870967741935520177') np.longdouble('0.008384699245165074647') np.longdouble('0.016229078207013296559') np.longdouble('0.031270537157223290055') np.longdouble('0.0598544450454715904') np.longdouble('0.11215063776938183862') np.longdouble('0.20078259537847024996') np.longdouble('0.33364821811028561483') np.longdouble('0.49971329246451952853') np.longdouble('0.6639388722372344044') np.longdouble('0.79551304313500152774') np.longdouble('0.8838823013371400816') np.longdouble('0.9247146039617836514') np.longdouble('0.95342823496176086256') np.longdouble('0.9744385080106975857') np.longdouble('0.989078031029329145') np.longdouble('0.25870967741935558263')
np.longdouble('0.28709677419354759058') np.longdouble('0.0084776828820340154605') np.longdouble('0.016378924669937551283') np.longdouble('0.031470882939346942736') np.longdouble('0.06009741979694342187') np.longdouble('0.112403254958035915084') np.longdouble('0.20103136786615650558') np.longdouble('0.3338122264178268612') np.longdouble('0.49975232981671909515') np.longdouble('0.6641048973994652837') np.longdouble('0.7957778359427343908') np.longdouble('0.88422615214963382155') np.longdouble('0.9287697746141156753') np.longdouble('0.95590919372921125596') np.longdouble('0.9754811101485345284') np.longdouble('0.9892577367660033542') np.longdouble('0.28709677419354799794')
np.longdouble('0.31548387096774136877') np.longdouble('0.008571918234751185672') np.longdouble('0.016524850374837453162') np.longdouble('0.03166149534449940237') np.longdouble('0.06032693752124036128') np.longdouble('0.11264126698586443903') np.longdouble('0.20126520772086680449') np.longdouble('0.3339666054169798843') np.longdouble('0.49978909912365959264') np.longdouble('0.66426069614318012323') np.longdouble('0.79602290733085894685') np.longdouble('0.88451674201836884775') np.longdouble('0.93635150473438375537') np.longdouble('0.9581209785737100507') np.longdouble('0.97644251015562358016') np.longdouble('0.98943166793129920793') np.longdouble('0.315483870967741798')
np.longdouble('0.3438709677419352594') np.longdouble('0.008671096623478511527') np.longdouble('0.016670487923060789371') np.longdouble('0.031845487281869916218') np.longdouble('0.060546260195814773328') np.longdouble('0.11286827732497739201') np.longdouble('0.20148810628433326043') np.longdouble('0.33411348591441737492') np.longdouble('0.49982410477956287933') np.longdouble('0.6644086620962013634') np.longdouble('0.7962535195907288046') np.longdouble('0.8847766344178701529') np.longdouble('0.936904017800478634') np.longdouble('0.96011582360530588496') np.longdouble('0.97733695680012512596') np.longdouble('0.98960142520279048854') np.longdouble('0.34387096774193570768')
