# float128 tau=1.4999999999999996 G=32 F=1.181780e-16 iters=22
np.longdouble('0.37225806451612820434') np.longdouble('0.008957844290570693825') np.longdouble('0.0174695862563763932') np.longdouble('0.032887628060035749594') np.longdouble('0.061627372198888560957') np.longdouble('0.113605400498449263355') np.longdouble('0.20145987973347517929') np.longdouble('0.33329723618529516114') np.longdouble('0.49851061084813944415') np.longdouble('0.6620842970493880673') np.longdouble('0.7927330920754002098') np.longdouble('0.88090107573633644026') np.longdouble('0.9335360409356927881') np.longdouble('0.9622072420791697658') np.longdouble('0.97801941279029408553') np.longdouble('0.98970592049007760453') np.longdouble('0.3722580645161300178')
np.longdouble('0.40064516129032162978') np.longdouble('0.009081920510421623961') np.longdouble('0.017738956385849799166') np.longdouble('0.033253822786586333583') np.longdouble('0.06211275797223130304') np.longdouble('0.11420421025000745391') np.longdouble('0.20211337959184690942') np.longdouble('0.3338243773921802576') np.longdouble('0.4988522052683759004') np.longdouble('0.662618407458560834') np.longdouble('0.79341820935161473096') np.longdouble('0.88158055849130901037') np.longdouble('0.93421843505017373045') np.longdouble('0.9633043770382174733') np.longdouble('0.978832107797394382') np.longdouble('0.9898738164398491161') np.longdouble('0.40064516129032347856')
np.longdouble('0.42903225806451525002') np.longdouble('0.009212323573432235251') np.longdouble('0.018027501224058732915') np.longdouble('0.033626858237624320777') np.longdouble('0.062595354106298406094') np.longdouble('0.11479331825569522545') np.longdouble('0.20275285599080132546') np.longdouble('0.3343391160715727309') np.longdouble('0.49918577823944836508') np.longdouble('0.66313792954198164033') np.longdouble('0.79408019963283393253') np.longdouble('0.8822249927139790758') np.longdouble('0.9348284842607116883') np.longdouble('0.964052318021742202') np.longdouble('0.9796111727202063895') np.longdouble('0.9900382643776224938') np.longdouble('0.42903225806451713263')
np.longdouble('0.45741935483870870506') np.longdouble('0.009348499296506181671') np.longdouble('0.018345933724322849825') np.longdouble('0.03401327015936696457') np.longdouble('0.063080281796011401315') np.longdouble('0.115378070415131460795') np.longdouble('0.20338371806470960039') np.longdouble('0.33484579722753745354') np.longdouble('0.49951369431892428115') np.longdouble('0.66364754783929184314') np.longdouble('0.79472563398657075217') np.longdouble('0.88284431180555951707') np.longdouble('0.93539036436971275806') np.longdouble('0.96463813773639152404') np.longdouble('0.9802983929868076821') np.longdouble('0.9901995062846153373') np.longdouble('0.4574193548387106194')
np.longdouble('0.48580645161290229972') np.longdouble('0.0094927640907169945934') np.longdouble('0.018711359700799249712') np.longdouble('0.03442198388809500386') np.longdouble('0.063573192912308349') np.longdouble('0.115963237256545982255') np.longdouble('0.20401123504385700611') np.longdouble('0.3353479209379733133') np.longdouble('0.49983817102417559263') np.longdouble('0.66415133805614351165') np.longdouble('0.7953600932921669515') np.longdouble('0.8834461323406610859') np.longdouble('0.9359196286718389392') np.longdouble('0.9651350171108607071') np.longdouble('0.9808491040402902794') np.longdouble('0.9903561155082196324') np.longdouble('0.48580645161290418805')
np.longdouble('0.51419354838709581195') np.longdouble('0.00964388449178036761') np.longdouble('0.019150895959709720562') np.longdouble('0.034864982889139292882') np.longdouble('0.06408037132816106077') np.longdouble('0.116553867659338914064') np.longdouble('0.20463990670783304854') np.longdouble('0.33584866194385648832') np.longdouble('0.50016182897582440737') np.longdouble('0.66465207906202668675') np.longdouble('0.7959887649561429939') np.longdouble('0.88403676274345401775') np.longdouble('0.93642680708769165097') np.longdouble('0.96557801611190499614') np.longdouble('0.9812886402992007503') np.longdouble('0.99050723590928300543') np.longdouble('0.5141935483870977003')
np.longdouble('0.5425806451612893806') np.longdouble('0.009800493715384662727') np.longdouble('0.019701607013192317853') np.longdouble('0.035361862263608475993') np.longdouble('0.064609635630287241945') np.longdouble('0.117155688194440482934') np.longdouble('0.2052743660134292478') np.longdouble('0.33635245216070815686') np.longdouble('0.50048630568107571885') np.longdouble('0.66515420277246254646') np.longdouble('0.7966162819352903996') np.longdouble('0.8846219295848685392') np.longdouble('0.9369197182039885987') np.longdouble('0.9659867298406330354') np.longdouble('0.98165406627567715017') np.longdouble('0.99065150070349381834') np.longdouble('0.54258064516129129496')
np.longdouble('0.57096774193548286737') np.longdouble('0.009961735622377506185') np.longdouble('0.020388827279793610432') np.longdouble('0.035947681978257798') np.longdouble('0.065171515739288311665') np.longdouble('0.11777500728602092416') np.longdouble('0.20591980036716606744') np.longdouble('0.33686207045801835967') np.longdouble('0.5008142217605516349') np.longdouble('0.6656608839284272691') np.longdouble('0.7972471440091986745') np.longdouble('0.88520668174430477455') np.longdouble('0.93740464589370159387') np.longdouble('0.96637314176237567925') np.longdouble('0.9819724987759412671') np.longdouble('0.99078767642656776475') np.longdouble('0.57096774193548475')
np.longdouble('0.59935483870967652144') np.longdouble('0.010126183560150883867') np.longdouble('0.021167892202605617983') np.longdouble('0.036695622961782526707') np.longdouble('0.065781564949826269555') np.longdouble('0.11841944150869098964') np.longdouble('0.20658179064838526905') np.longdouble('0.33738159254143916592') np.longdouble('0.50114779473162409957') np.longdouble('0.6661756226078197424') np.longdouble('0.7978866204081530906') np.longdouble('0.8857957897499925461') np.longdouble('0.93788724202776869695') np.longdouble('0.96674617721341366645') np.longdouble('0.98226104361415020083') np.longdouble('0.99091807948957837603') np.longdouble('0.5993548387096783702')
np.longdouble('0.6277419354838699822') np.longdouble('0.0102940795099223954844') np.longdouble('0.021980587209705914465') np.longdouble('0.03779275792083023417') np.longdouble('0.06646395906430721193') np.longdouble('0.119098924263663559695') np.longdouble('0.20726690792459979019') np.longdouble('0.33791570295061193265') np.longdouble('0.50148938915186055585') np.longdouble('0.66670276381470483886') np.longdouble('0.79854012026652482074') np.longdouble('0.88639459950155073664') np.longdouble('0.9383726278011114391') np.longdouble('0.9671123719399642504') np.longdouble('0.9825304137436236068') np.longdouble('0.9910421557094293062') np.longdouble('0.62774193548387179564')
np.longdouble('0.6561290322580635828') np.longdouble('0.010466405044086356779') np.longdouble('0.02282320793201892497') np.longdouble('0.03967676995374332143') np.longdouble('0.06726249683273172125') np.longdouble('0.119827147833688346694') np.longdouble('0.20798352722121091603') np.longdouble('0.33846882917336145933') np.longdouble('0.501842522806342197') np.longdouble('0.66724640075640407477') np.longdouble('0.7992128204173092255') np.longdouble('0.8870083511625233083') np.longdouble('0.9388660073927795976') np.longdouble('0.96747725339539118305') np.longdouble('0.98278864505300356235') np.longdouble('0.991162761771511239') np.longdouble('0.65612903225806530345')
np.longdouble('0.6845161290322571572') np.longdouble('0.010644420608714326042') np.longdouble('0.023720724190680593843') np.longdouble('0.04200702256359819768') np.longdouble('0.068274055521574056524') np.longdouble('0.12062462504609390715') np.longdouble('0.20874222206942551387') np.longdouble('0.3390479211681432855') np.longdouble('0.50221043480563479504') np.longdouble('0.6678130794369575155') np.longdouble('0.79991186071293686645') np.longdouble('0.8876435731796147849') np.longdouble('0.9393727259338752062') np.longdouble('0.96784622674662292827') np.longdouble('0.9830414254005571319') np.longdouble('0.9912808016125299989') np.longdouble('0.68451612903225881067')
np.longdouble('0.7129032258064506773') np.longdouble('0.01082972515944836202') np.longdouble('0.024687983511093911268') np.longdouble('0.044321922172311940798') np.longdouble('0.069792503071854048276') np.longdouble('0.12152502611382080923') np.longdouble('0.20955730005268418637') np.longdouble('0.33966036715099847087') np.longdouble('0.5025975642052406838') np.longdouble('0.6684084609526962414') np.longdouble('0.800645274921596629') np.longdouble('0.8883085771057453154') np.longdouble('0.9398994670656298789') np.longdouble('0.9682246492894346204') np.longdouble('0.9832940549501735921') np.longdouble('0.99139818996307955284') np.longdouble('0.7129032258064522613')
np.longdouble('0.7412903225806443653') np.longdouble('0.011024394813274129548') np.longdouble('0.025741566867497591348') np.longdouble('0.046877798966241280186') np.longdouble('0.07379681412440753949') np.longdouble('0.1225892657382072672') np.longdouble('0.21045009796999986334') np.longdouble('0.34031699600934375155') np.longdouble('0.5030098610261160905') np.longdouble('0.66904222152020092985') np.longdouble('0.801425064913231585') np.longdouble('0.8890122304483074186') np.longdouble('0.94045359718265259994') np.longdouble('0.9686185165913611909') np.longdouble('0.9835515125853840912') np.longdouble('0.991517141070030717') np.longdouble('0.7412903225806458499')
np.longdouble('0.76967741935483788827') np.longdouble('0.011231211010758026915') np.longdouble('0.026902876888506629291') np.longdouble('0.049787154745908452445') np.longdouble('0.079614339011586639856') np.longdouble('0.12395973933555372027') np.longdouble('0.2114538408682745166') np.longdouble('0.34103265235389880732') np.longdouble('0.5034545827894963022') np.longdouble('0.6697259694531832134') np.longdouble('0.8022647525985430715') np.longdouble('0.8897681056201753032') np.longdouble('0.94104558124268118446') np.longdouble('0.96903499559457981737') np.longdouble('0.98381904908979211005') np.longdouble('0.9916396268933839684') np.longdouble('0.76967741935483931345')
np.longdouble('0.79806451612903157915') np.longdouble('0.011454038437878062057') np.longdouble('0.028201141371276723922') np.longdouble('0.053166846376916159078') np.longdouble('0.085336946810046989436') np.longdouble('0.12615814902055220643') np.longdouble('0.21262702819583903735') np.longdouble('0.34182946823148314865') np.longdouble('0.5039429431453045313') np.longdouble('0.670476024682577062') np.longdouble('0.8031860654030744445') np.longdouble('0.8905932224685764591') np.longdouble('0.9416887067809612768') np.longdouble('0.9694837978328876665') np.longdouble('0.98410302825651222174') np.longdouble('0.99176848352446318974') np.longdouble('0.7980645161290327905')
np.longdouble('0.8264516129032250911') np.longdouble('0.0116984813885459506') np.longdouble('0.029678170496417111381') np.longdouble('0.05718629602701945199') np.longdouble('0.09220966736540251444') np.longdouble('0.13774559659566726574') np.longdouble('0.21409364252295627509') np.longdouble('0.3427436462807205005') np.longdouble('0.50449103051929262466') np.longdouble('0.6713171412587386475') np.longdouble('0.80421826461201010065') np.longdouble('0.8915147689046812061') np.longdouble('0.9424032580446208469') np.longdouble('0.9699783788496590538') np.longdouble('0.98441201459016155887') np.longdouble('0.99190732467526202215') np.longdouble('0.82645161290322619735')
np.longdouble('0.85483870967741871594') np.longdouble('0.011973096018468354928') np.longdouble('0.03139699419584708013') np.longdouble('0.062113889684775137605') np.longdouble('0.10079204168042353568') np.longdouble('0.14985613014949280022') np.longdouble('0.21623078114657934794') np.longdouble('0.34384233090251776902') np.longdouble('0.5051250645657423057') np.longdouble('0.672288600280889491') np.longdouble('0.8054101068895733436') np.longdouble('0.8925754291304761472') np.longdouble('0.94322013551583128025') np.longdouble('0.970539462810732331') np.longdouble('0.984758503301444917') np.longdouble('0.9920613838487373883') np.longdouble('0.8548387096774196595')
np.longdouble('0.88322580645161223166') np.longdouble('0.0122918276039769542945') np.longdouble('0.03345933533312396132') np.longdouble('0.06841259992850674732') np.longdouble('0.112015733342462202375') np.longdouble('0.16555534873261495288') np.longdouble('0.23333891605529752398') np.longdouble('0.3452807922520975071') np.longdouble('0.50589305387979178') np.longdouble('0.67346032833289645714') np.longdouble('0.8068494168884319226') np.longdouble('0.89384851491632361597') np.longdouble('0.94419486228969913197') np.longdouble('0.97120276013966633547') np.longdouble('0.9851629219546363151') np.longdouble('0.9922390404936480672') np.longdouble('0.883225806451613136')
np.longdouble('0.9116129032258059575') np.longdouble('0.012679478651346792353') np.longdouble('0.03604596379982474199') np.longdouble('0.07697810179495099253') np.longdouble('0.12772571434382583774') np.longdouble('0.18756024906684099773') np.longdouble('0.26025993455861925043') np.longdouble('0.34766753360550177267') np.longdouble('0.5069009948004663052') np.longdouble('0.67497928458883051106') np.longdouble('0.8087207704147135811') np.longdouble('0.89548776289143350716') np.longdouble('0.9454382294371091574') np.longdouble('0.9720379941637041426') np.longdouble('0.9856641252515442202') np.longdouble('0.99245565326948276155') np.longdouble('0.9116129032258065702')
np.longdouble('0.9399999999999996509') np.longdouble('0.013186187064049957926') np.longdouble('0.039530815198039550028') np.longdouble('0.08988068337723891381') np.longdouble('0.15236673704974294605') np.longdouble('0.22192216691512425074') np.longdouble('0.3019906887653967814') np.longdouble('0.39240290130711783577') np.longdouble('0.5085120156965768196') np.longdouble('0.6772702197254380174') np.longdouble('0.8115668258643752345') np.longdouble('0.8979148353296558358') np.longdouble('0.94724316570884761735') np.longdouble('0.97322040755935460064') np.longdouble('0.9863533821120953446') np.longdouble('0.99274444185137431467') np.longdouble('0.93999999999999998466')
