i,j,k,xi1,xi2,xi3,u1,Sig,delta,u2,u3,P_interp,Phi,resid,abs_resid
1,3,4,-0.8333333333333334,-0.5,-0.33333333333333337,-2.3978952727983707,-1.6479184330021646,-1.039720770839918,-1.3438196019210413,-0.30409883108112323,0.22555831379165056,0.006298704584912071,-0.21925960920673848,0.21925960920673848
1,3,5,-0.8333333333333334,-0.5,-0.16666666666666674,-2.3978952727983707,-1.6479184330021646,-0.5047083549318196,-1.0763133939669922,-0.5716050390351725,0.14544756167328865,0.00415698208903327,-0.1412905795842554,0.1412905795842554
1,3,6,-0.8333333333333334,-0.5,0.0,-2.3978952727983707,-1.6479184330021646,0.0,-0.8239592165010823,-0.8239592165010823,0.12067092255740364,0.0032561948856460986,-0.11741472767175753,0.11741472767175753
1,3,7,-0.8333333333333334,-0.5,0.16666666666666652,-2.3978952727983707,-1.6479184330021646,0.504708354931819,-0.5716050390351728,-1.0763133939669918,0.14544756166418538,0.004326496209266473,-0.1411210654549189,0.1411210654549189
1,3,8,-0.8333333333333334,-0.5,0.33333333333333326,-2.3978952727983707,-1.6479184330021646,1.0397207708399177,-0.30409883108112346,-1.343819601921041,0.22555831377617522,0.006172324097916676,-0.21938598967825854,0.21938598967825854
1,3,9,-0.8333333333333334,-0.5,0.5,-2.3978952727983707,-1.6479184330021646,1.6479184330021646,0.0,-1.6479184330021646,0.32775326900423246,0.023780752628910357,-0.3039725163753221,0.3039725163753221
1,3,10,-0.8333333333333334,-0.5,0.6666666666666665,-2.3978952727983707,-1.6479184330021646,2.41415686865115,0.38311921782449265,-2.031037650826657,0.33202496153761907,0.03802917852665777,-0.2939957830109613,0.2939957830109613
1,3,11,-0.8333333333333334,-0.5,0.8333333333333333,-2.3978952727983707,-1.6479184330021646,3.596842909197555,0.9744622380976953,-2.62238067109986,0.3333330685322483,0.08624841750593623,-0.24708465102631208,0.24708465102631208
1,4,1,-0.8333333333333334,-0.33333333333333337,-0.8333333333333334,-2.3978952727983707,-1.039720770839918,-3.596842909197556,-2.318281840018737,1.278561069178819,0.333333333167365,0.20045890216705464,-0.13287443100031038,0.13287443100031038
1,4,2,-0.8333333333333334,-0.33333333333333337,-0.6666666666666667,-2.3978952727983707,-1.039720770839918,-2.414156868651151,-1.7269388197455346,0.6872180489056166,0.33333009429681293,0.0665608204853558,-0.2667692738114571,0.2667692738114571
1,4,3,-0.8333333333333334,-0.33333333333333337,-0.5,-2.3978952727983707,-1.039720770839918,-1.6479184330021646,-1.3438196019210413,0.30409883108112323,0.33114392857942515,0.0235254179079565,-0.30761851067146867,0.30761851067146867
1,4,4,-0.8333333333333334,-0.33333333333333337,-0.33333333333333337,-2.3978952727983707,-1.039720770839918,-1.039720770839918,-1.039720770839918,0.0,0.3277533457544302,0.04361565930449608,-0.28413768644993415,0.28413768644993415
1,4,5,-0.8333333333333334,-0.33333333333333337,-0.16666666666666674,-2.3978952727983707,-1.039720770839918,-0.5047083549318196,-0.7722145628858689,-0.2675062079540492,0.24302890067252358,0.021162193257453714,-0.22186670741506986,0.22186670741506986
1,4,6,-0.8333333333333334,-0.33333333333333337,0.0,-2.3978952727983707,-1.039720770839918,0.0,-0.519860385419959,-0.519860385419959,0.1780827876299594,0.01531868761203493,-0.1627641000179245,0.1627641000179245
1,4,7,-0.8333333333333334,-0.33333333333333337,0.16666666666666652,-2.3978952727983707,-1.039720770839918,0.504708354931819,-0.26750620795404956,-0.7722145628858685,0.2430289006689372,0.021220305333419412,-0.22180859533551778,0.22180859533551778
