==================================================================================
K=3 STRICT h=0 learning iterates 0..100  (LOW tau/gamma)
  ASYM: tau=[0.1, 0.3, 1.0], gamma=[0.05, 0.2, 0.5]
  SYM : tau=[0.3, 0.3, 0.3], gamma=[0.2, 0.2, 0.2]
==================================================================================
iter  |       ASYM F    ASYM 1-R^2  |        SYM F     SYM 1-R^2
  91  |   1.4021e-03      0.000932  |   2.2131e-04      0.000930
  92  |   1.3929e-03      0.000932  |   1.7745e-04      0.000930
  93  |   1.3706e-03      0.000932  |   1.1959e-04      0.000930
  94  |   1.3360e-03      0.000932  |   2.1122e-04      0.000930
  95  |   1.3066e-03      0.000932  |   1.7308e-04      0.000930
  96  |   1.2888e-03      0.000932  |   1.2934e-04      0.000930
  97  |   1.3102e-03      0.000932  |   2.0701e-04      0.000930
  98  |   1.3132e-03      0.000932  |   1.7701e-04      0.000930
  99  |   1.3047e-03      0.000933  |   1.1959e-04      0.000930
 100  |   1.3084e-03      0.000932  |   2.2624e-04      0.000930
==================================================================================
